Context,Location,,,SpaCy most recent GPE named entity (original case),Truecased (originally lowercase) SpaCy most recent GPE named entity,Truecased (originally lowercase)  NER recognition - xx_ent_wiki_sm,Two most frequent GPEs,Two most frequent LOCs,,"All LOCs, no punctuation"
"Are you excited? Yeah, totally! Joe and I have been planning that trip for ages. Can you believe I've never been to Yosemite even though I've lived in California for more than 5 years? Yeah, wow, that's a long time. Have you packed yet? Nah, not really. I guess I'm not really sure what I should bring. Uh, well, it depends.",Yosemite,,,California,California,California,"[('California', 1), ('Yosemite', 1)]","[('California', 1), ('Yosemite', 1)]",,"[('Yeah', 1), ('Yosemite', 1), ('California', 1)]"
"I've been packing for our trip. Oh, thanks for doing that! Yeah, no problem. The thing is, I haven't figured out which jacket I should bring. What do you mean? Well, I've got two options. The warm one I wear if it's below 50 degrees. I've also got the lighter one. Oh, okay. So which one should I bring? I don't know. Have you tried looking up the weather in Seattle? No, not yet. Okay.",Seattle,,,Seattle,Seattle,Okay,"[('Seattle', 1)]","[('Okay', 1), ('Seattle', 1)]",,"[('Seattle', 1)]"
"I need to know whether to bring an umbrella today. Are you going anywhere? No, just staying in New York City.",New York City,,,New York City,New York City,New York City,"[('New York City', 1)]","[('New York City', 1)]",,"[('New York City', 1)]"
"Have you finished loading the car? We need to leave soon if we want to make it to Los Angeles before dinner. Sorry, I'm still figuring out which clothes to bring with me. How come? Well, obviously I need to know what to wear.",Los Angeles,,,Los Angeles,Los Angeles,Los Angeles,"[('Los Angeles', 1)]","[('Los Angeles', 1)]",,"[('Los Angeles', 1)]"
"Did you hear about what's happening in Texas? Yeah, I can't believe it. I'm glad it hasn't been that bad in California. Same, same. Do you know if it's gotten any better since last week? No, I'm not sure, let's check.",California,,,California,California,California,"[('California', 1), ('Texas', 1)]","[('California', 1), ('Texas', 1)]",,"[('Texas Yeah I', 1), ('California', 1)]"
"I've always loved winter. Why? Well, growing up in Wisconsin, that's when it would be the most beautiful. It would snow a lot, and we'd go outside and play. I wonder if it's still the same there now.",Wisconsin,,,Wisconsin,Wisconsin,Wisconsin,"[('Wisconsin', 1)]","[('Wisconsin', 1)]",,"[('Wisconsin Thats', 1)]"
"The Tour de France starts in Brest on June 26 and ends in Paris three weeks later, July 18. I'm going to be at the finish line, cheering for my favorite. Will you also be in Brest? No, Brittany is too out of the way for me, and I have to fly through CDG, so I don't want to go all the way out and then back again. Plus, I don't have that much vacation time.",Paris,,,Brest,Paris,Brittany,"[('Paris', 1), ('France', 1)]","[('Brest', 2), ('Brittany', 1)]",,"[('de France', 1), ('Brest', 2), ('Paris', 1), ('Brittany', 1)]"
"Okay, let your parents know, we'll be arriving in Larnaca on May 18th. Sure, I'm talking to them tonight. Did you see May 19th? No, the 18th. Yeah, okay that makes sense, it's a Sunday.",Laranaca,,,Larnaca,Larnaca,Larnaca,"[('Larnaca', 1)]","[('Larnaca', 1), ('Okay', 1)]",,"[('Larnaca', 1), ('18th Yeah', 1)]"
"How much are tickets to Las Vegas? Only $150! That's pretty cheap! Yeah, I was thinking that too. Do you think it's worth going? It depends on the dates for me. I was looking the 24th or the 31st. I think those would work. I prefer the first one, though. Should be doable. Do you want to go anywhere else? Maybe.",Las Vegas,,,Las Vegas,Las Vegas,Las Vegas,"[('Las Vegas', 1)]","[('Las Vegas', 1)]",,"[('Las Vegas', 1), ('Thats', 1)]"
"I just heard from my sister in Kyoto, she says the cherries are starting to bloom! Wait, already? I know, I was surprised, I thought it wasn't going to happen for another month or so. Do you think they're extra early this year? I wonder, I should ask.",Kyoto,,,Kyoto,Kyoto,Kyoto,"[('Kyoto', 1)]","[('Kyoto', 1)]",,"[('Kyoto', 1)]"
"The ice in Texas has been freezing everything important. Do you know if we can find a good heat source to survive the winter? I'm starting to lose some hope. Hopefully, after March 16th the weather will improve and the heat will melt everything away",Texas,,,Texas,Texas,Texas,"[('Texas', 1)]","[('Texas', 1)]",,"[('Texas', 1)]"
The heat wave is killing me. The fans are constantly running. The AC is running it at full power. Hopefully the heat wave over San Jose stops over the next week,San Jose,,,San Jose,San Jose,San Jose,"[('San Jose', 1)]","[('San Jose', 1)]",,"[('San Jose', 1)]"
Do you like the flowers that bloom in the spring? It looks way better here than anywhere else in the world. The Ohio soil is filled with great nutrients that allow these plants to bloom in the humid enviornment,Ohio,,,Ohio,Ohio,Ohio,"[('Ohio', 1)]","[('Ohio', 1)]",,"[('Ohio', 1)]"
"The incoming storm has been destroying everything in its path. We should get out of Florida before it heads in this direction. We should be able to pack up and move to the house in the west. Hopefully, they have better weather there.",Florida,,,Florida,Florida,West,"[('Florida', 1)]","[('West', 1), ('Florida', 1)]",,"[('Florida', 1)]"
"Last week, I visited niagra falls. You should have seen it. It was filled with colorful mist with barely any light polution. The lack of rain made it perfect for the boat trip down to the base of the falls. The light show especailly blew me away.",,,,,Niagra,Niagra,"[('Niagra', 1)]","[('Niagra', 1)]",,"[('Niagra', 1)]"
"How often do you buy coats? Almost never, a good coat lasts for years. True, but you'll be moving to Seattle for Amazon right? Yeah the rainy city doesn't seem like it'll be nice for most of the year. Best of luck, you will probably need a few umbrellas too!",Seattle,,,Seattle,Seattle,Amazon,"[('Seattle', 1)]","[('Amazon', 1), ('Seattle', 1)]",,"[('Seattle', 1), ('Amazon', 1), ('Yeah', 1), ('Doesnt', 1)]"
"Good afternoon, who is this calling? I'm fine thanks. Great to hear you're also doing well. Well sure I'd be happy to meet for dinner. Berkeley Thai House sounds great. It might be chilly, so bring your coat. Alright, see you at seven!",Berkeley,,,,,,[],[],,[]
"Wow I can't believe it. I just got off the phone with Bob. They still don't have clean water in San Antonio. What a shame. Well it sounds like most of the snowstorm is gone. Yeah, good thing. I can't imagine it snowing in San Antonio, let alone for a week.",San Antonia,,,San Antonio,San Antonio,San Antonio,"[('San Antonio', 2)]","[('San Antonio', 2)]",,"[('San Antonio', 2)]"
"Hey do you mind running over to Target and buying some toilet paper? We're gonna be out soon. Can I take the car? No, Target is so close. But it's drizzling outside. Oh is that so? Then sure. Be back by seven!",Tahoe,,,,,,[],[],,[]
"Dude my club is planning a retreat to Tahoe in May. Isn't that during finals week? Nah it's right after. Okay but May? It's gonna be so much warmer there than what you'd like. I know, but cold or warm, I still wanna go to Tahoe.",Tahoe,,,,,Tahoe,[],"[('Tahoe', 2)]",,"[('Tahoe', 2)]"
"I've decided on a new year's resolution. Oh do tell! I'm gonna run at least five miles a week. Hey that's nice and doable. Where are you planning on running? I'll just do laps at Willard Park in the evening. Nice that sounds good, the trees there will protect you from any wind. Yeah, and if its chilly, I'll wear that new windbreaker I bought.",Willard Park,,,Willard Park,,Willard,[],"[('Willard', 1)]",,"[('Willard', 1), ('Yeah', 1)]"
"I'm headed to New York this summer since my internship is remote anyway. Oh, that sounds cool! I've heard NY gets really humid at that time of the year though? I don't mind a little humidity, I think it'll be fine! Sweet! Let me know how that goes - I might have to go to Florida for mine, so we'll be on the same time zone. Oh, awesome!",Florida,,,Florida,Florida,Florida,"[('Florida', 1), ('NY', 1)]","[('Florida', 1), ('NY', 1)]",,"[('New York', 1), ('Internship', 1), ('NY', 1), ('Florida', 1)]"
"My shoe feels a lot tighter - have my feet grown? It might be the weather, it's been pretty cold in Nevada these past few days, and I've heard that prevents the leather from expanding. Oh? Hopefully it gets better soon! I love these shoes!",Nevada,,,Nevada,Nevada,Nevada,"[('Nevada', 1)]","[('Nevada', 1)]",,"[('Nevada', 1)]"
"One of my friends went for a hike up Berkeley hills about two days ago and he got lost. Oh that sounds terrible! Did he not have his gps? He did, but the weather was so bad he could barely see anything. Wow, that's scary - guess I'll look at the forecast for when I go hiking on the weekend.",Berkeley Hills,,,Berkeley,Berkeley,Berkeley,"[('Berkeley', 1)]","[('Berkeley', 1)]",,"[('Berkeley', 1)]"
The gyms just opened up here in LA. it's been so long since I've worked out! I think they're following social distancing guidelines pretty strictly so it should be fine. Sounds great! I've heard it's going to be raining for most of next week though so you might have to wait a bit more.,LA,,,LA,La.,La,"[('La.', 1)]","[('La', 1)]",,[]
The sun's been shining pretty bright the last week. We should be able to stop worrying the snowstorm last week. Did you know we completely lost power in Texas after the snowstorm destroyed everything in the area?,Texas,,,Texas,Texas,Texas,"[('Texas', 1)]","[('Texas', 1)]",,"[('Texas', 1)]"
"I went on a skii trip with all my friends. We spent most of the time inside, and watch lots of tv. I think that's the best use of time on a skii trip. Hopefully, we will get a snow day in LA like this some day",LA,,,LA,La,,"[('La', 1)]",[],,"[('Thats', 1)]"
"Last year, my friends went on a trip to the beach. It was way too hot so we started to burn up. this week, we're going on a boating trip instead. I think it's much safer than a regular boat trip. The boat trip will be in the middle of niagra falls",Niagra Falls,,,,Niagra,Niagra,"[('Niagra', 1)]","[('Niagra', 1)]",,"[('Niagra', 1)]"
The large trucks in the area have been destroying everything in the area. I want to join these truck riders one day tho. They only ride at noon while the sun is blazing in the middle of arizona,Arizona,,,,Arizona,Arizona,"[('Arizona', 1)]","[('Arizona', 1)]",,"[('Arizona', 1)]"
"Do you have something to block the blazing sun? It's been burning everything up. I can't go running, biking, or skateboarding. I think the best way to combat this is to get higher ground up in the snowy mountians of San Diego",San Diego,,,San Diego,San Diego,San Diego,"[('San Diego', 1)]","[('San Diego', 1), ('Mountians', 1)]",,"[('Biking', 1), ('Mountians', 1), ('San Diego', 1)]"
"The best way to avoid getting attacked by bears is to stay completely still. If you stand completely still, the bears won't notice you at all. This only works if you are in a specific part of russia tho. The rest of russia the bears will attack immediately",Russia,,,,Russia,Russia,"[('Russia', 2)]","[('Russia', 2)]",,"[('Russia', 2)]"
The water started to freeze as I trying to get tap water. How is that even possible? Maybe I have an issue with my pipe that causes to break down. This is what happens when you live in a Michigan during the winter,Michigan,,,Michigan,Michigan,Michigan,"[('Michigan', 1)]","[('Michigan', 1)]",,"[('Michigan', 1)]"
"How do we avoid the potato shortage? We've been dealing with the lack of potatoes every spring due to an attack from the anti potato faction. However, I think the fog in the area will fix our issue. I hope that I can get some quality irish potatos by next year",Ireland,Note: I used irish instead of Ireland directly,,,,We've,[],"[(""We've"", 1)]",,[]
Do you think we can finish running? We've been running for the past hour and it's been raining heavily. We should have checked the forecast before heading out. This is probably especially true if we wanted to go to amazon rainforest,Amazon Rainforest,,,,,Amazon Rainforest,[],"[('Amazon Rainforest', 1), (""We've"", 1)]",,"[('Amazon Rainforest', 1)]"
I think we should start remixing some of the sounds we're hearing while waiting for the bus stop. We wait infront of the Connecticut to New york bus stop ever week for over an hour. It's especially boring with the very ordinary weather,Connecticut to New york,,,New york,New York,New York,"[('New York', 1), ('Connecticut', 1)]","[('New York', 1), ('Connecticut', 1)]",,"[('Infront', 1), ('Connecticut', 1), ('New York', 1)]"
"Have you ever jumped across a building? I heard the best time to jump across buildings in New York like spiderman is at midnight. Supposedly, there aren't too many people to shout at you if miss the landing. ",New york,,,New York,New York,New York,"[('New York', 1)]","[('New York', 1)]",,"[('New York', 1)]"
"Tell me about how Yosemite went. It was great, the snow was old, it wasn't windy, and the sky was very clear. I wish Berkeley had weather that was more like Yosemite. What's the weather in Berkeley anyways?",Berkeley,,,Berkeley,Berkeley,Berkeley,"[('Berkeley', 1)]","[('Yosemite', 2), ('Berkeley', 1)]",,"[('Yosemite', 1), ('Berkeley', 1)]"
"Ah that's much better. Yeah the heater is so nice. I can't believe it can get this cold in March. Same, I'll gladly pay the utilities bill if it means I don't have to put up with Portland's spring weather.",Portland,,,Portland,Portland,Portland,"[('Portland', 1)]","[('Portland', 1)]",,"[('Portlands', 1)]"
"My favorite restaurants are always at least a hundred miles away from my house! I'm craving a burger right now but I don't want to get caught in the rain. It is cloudy outside but maybe it won't actually rain? It's been cloudy for the past few days and we haven't seen a drop of rain here. That's true, bay area weather can be so unpredictable.",bay area,,,,,Bay,[],"[('Bay', 1)]",,"[('Thats', 1), ('Bay', 1)]"
The train from berkeley to San Jose was very difficult. I had trouble arriving due to all the traffic issues. I think it was due to the bad weather and rain in berkeley.,San Jose,,,Berkeley,,,,,,"[('Berkeley', 2), ('San Jose', 1)]"
Do you think we can head to texas next week? I think we shold be able to given that the weather has been very well. The flight from the bahamas to texas on the other hand could be better.,Texas,,,Bahamas,,,,,,"[('Texas', 2), ('Shold', 1), ('the Bahamas', 1)]"
"I think we should run to catch the next bus leaving LA. The LA bus is very infrequent and difficult to predict. I think if we the bus can actually predict the destination weather we would be in a much better shape. For example, the weather in Nevada today is bad.",LA,,,Nevada,,,,,,"[('Nevada', 1)]"
"We started going on a walk across the beach in Minnesota. However, before we knew it it started raining all over the beach. We then packed up our stuff and started to head home back in Sacremento.",Minnesota,,,Sacremento,,,,,,"[('Minnesota', 1), ('Sacremento', 1)]"
"I think the weather in New Jersey is one of the worst in the states. It's always hailing every other day. In LA, on other other hand, it barely every snows.",New Jeresey,,,LA,,,,,,"[('New Jersey', 1), ('States', 1)]"
We should take the road trip from Ohio to Iowa. The road trip is filled with good spectacles and car shows. We can stop to see the beautiful snowing weather around Chicago on the way.,Chicago,,,Ohio to Iowa,,,,,,"[('Ohio', 1), ('Iowa', 1), ('Chicago', 1)]"
"Yesterday, April went on a field trip to the muesuem. She took the bus trip from Texas to Nevada to see the spaceship. The bus was stopped tho due to the freezing weather in the area.","Texas, Nevada",,,,,,,,,"[('Muesuem', 1), ('Texas', 1), ('Nevada', 1)]"
"Rhapsody in Blue is great! Yeah George Gershwin's work is awesome, have you heard An American in Paris? No what's that? It's a pretty great song. I'll check it out once I get to Paris haha. Aren't they in a lockdown right now? Oh yeah my bad looks like the only Paris I'll be going to is Paris, Texas.","Paris, Texas",,,,,,,,,"[('Paris', 3), ('Whats', 1), ('Lockdown', 1)]"
The lack of good weather information caused the road trip across the country to stop. We wouldn't know if the roads of Australia were good enough for the 15 pound truck. The truck we were riding in was originally from the States.,Australia,,,,,,,,,"[('Wouldnt', 1), ('Australia', 1), ('States', 1)]"
"We played Nirvana songs through the entire road trip. It was a blast. Didn't you ever get tired of them though? No we started in Albuquerque and ended in San Antonio, so you can imagine that we really had to love Nirvana for such a long ride, especially since there was a dust storm along the way, making things much dryer than they already were.","Albuquerque, San Antonio",,,,,,,,,"[('Albuquerque', 1), ('San Antonio', 1)]"
I think we should speed up the travel from berkeley to LA. Adding better infrastructure such as trains will speedup travel and transport. The only issue is that weather in Berkeley is unpredictable. It went from freezing cold to blazing hot.,Berkeley,,,,,,,,,"[('Berkeley', 1)]"
"Hey Brandy, do you expect the trip to take long? No, trains to Trenton are pretty quick, the only delays I imagine would be from storms. Amtrak rarely gets delayed.",Trenton,,,,,,,,,"[('Trenton', 1)]"
"Our trip to Africa was great, the weather was also not as harsh as we were expecting! Oh, that's great to hear! Where did you go? We spent most of our time in South Africa, I think my favorite spots were Cape Town, Johannesburg and Durban - the beaches were lots of fun! ","Cape Town, Johannesburg, Durban",,,,,,,,,
,,,,,,,,,,
 ,,,,,,,,,,